space,room_size,capacity,user_per_min,width1,width2,width3,width4,width5,no_of_openings_1,no_of_openings_2,no_of_openings_3,no_of_openings_4,no_of_openings_5
Area for standing,175,583,72,1.2,0.0,0.0,0.0,0.0,True,False,False,False,False
Area for standing,200,667,72,1.2,0.0,0.0,0.0,0.0,True,False,False,False,False
Area for standing,50,167,90,1.5,0.0,0.0,0.0,0.0,True,False,False,False,False
Area for standing,75,250,90,1.5,0.0,0.0,0.0,0.0,True,False,False,False,False
Area for standing,100,333,90,1.5,0.0,0.0,0.0,0.0,True,False,False,False,False
Area for standing,125,417,90,1.5,0.0,0.0,0.0,0.0,True,False,False,False,False
Area for standing,150,500,90,1.5,0.0,0.0,0.0,0.0,True,False,False,False,False
Area for standing,175,583,90,1.5,0.0,0.0,0.0,0.0,True,False,False,False,False
Area for standing,200,667,90,1.5,0.0,0.0,0.0,0.0,True,False,False,False,False
Area for standing,50,167,120,2.0,0.0,0.0,0.0,0.0,True,False,False,False,False
Area for standing,75,250,120,2.0,0.0,0.0,0.0,0.0,True,False,False,False,False
Area for standing,100,333,120,2.0,0.0,0.0,0.0,0.0,True,False,False,False,False
Area for standing,125,417,120,2.0,0.0,0.0,0.0,0.0,True,False,False,False,False
Area for standing,150,500,120,2.0,0.0,0.0,0.0,0.0,True,False,False,False,False
Area for standing,175,583,120,2.0,0.0,0.0,0.0,0.0,True,False,False,False,False
Area for standing,200,667,120,2.0,0.0,0.0,0.0,0.0,True,False,False,False,False
Area for standing,50,167,132,2.2,0.0,0.0,0.0,0.0,True,False,False,False,False
Area for standing,75,250,132,2.2,0.0,0.0,0.0,0.0,True,False,False,False,False
Area for standing,100,333,132,2.2,0.0,0.0,0.0,0.0,True,False,False,False,False
Area for standing,125,417,132,2.2,0.0,0.0,0.0,0.0,True,False,False,False,False
Area for standing,150,500,132,2.2,0.0,0.0,0.0,0.0,True,False,False,False,False
Area for standing,175,583,132,2.2,0.0,0.0,0.0,0.0,True,False,False,False,False
Area for standing,200,667,132,2.2,0.0,0.0,0.0,0.0,True,False,False,False,False
Area for standing,50,167,144,2.4,0.0,0.0,0.0,0.0,True,False,False,False,False
Area for standing,75,250,144,2.4,0.0,0.0,0.0,0.0,True,False,False,False,False
Area for standing,100,333,144,2.4,0.0,0.0,0.0,0.0,True,False,False,False,False
Area for standing,125,417,144,2.4,0.0,0.0,0.0,0.0,True,False,False,False,False
Area for standing,150,500,144,2.4,0.0,0.0,0.0,0.0,True,False,False,False,False
Area for standing,175,583,144,2.4,0.0,0.0,0.0,0.0,True,False,False,False,False
Area for standing,200,667,144,2.4,0.0,0.0,0.0,0.0,True,False,False,False,False
Area for standing,50,167,180,3.0,0.0,0.0,0.0,0.0,True,False,False,False,False
Area for standing,75,250,180,3.0,0.0,0.0,0.0,0.0,True,False,False,False,False
Area for standing,100,333,180,3.0,0.0,0.0,0.0,0.0,True,False,False,False,False
Area for standing,125,417,180,3.0,0.0,0.0,0.0,0.0,True,False,False,False,False
Area for standing,150,500,180,3.0,0.0,0.0,0.0,0.0,True,False,False,False,False
Area for standing,175,583,180,3.0,0.0,0.0,0.0,0.0,True,False,False,False,False
Area for standing,200,667,180,3.0,0.0,0.0,0.0,0.0,True,False,False,False,False
Area for standing,50,167,200,0.75,0.75,0.0,0.0,0.0,False,True,False,False,False
Area for standing,75,250,200,0.75,0.75,0.0,0.0,0.0,False,True,False,False,False
Area for standing,100,333,200,0.75,0.75,0.0,0.0,0.0,False,True,False,False,False
Area for standing,125,417,200,0.75,0.75,0.0,0.0,0.0,False,True,False,False,False
Area for standing,150,500,200,0.75,0.75,0.0,0.0,0.0,False,True,False,False,False
Area for standing,175,583,200,0.75,0.75,0.0,0.0,0.0,False,True,False,False,False
Area for standing,200,667,200,0.75,0.75,0.0,0.0,0.0,False,True,False,False,False
Area for standing,50,167,208,0.75,0.81,0.0,0.0,0.0,False,True,False,False,False
Area for standing,75,250,208,0.75,0.81,0.0,0.0,0.0,False,True,False,False,False
Area for standing,100,333,208,0.75,0.81,0.0,0.0,0.0,False,True,False,False,False
Area for standing,125,417,208,0.75,0.81,0.0,0.0,0.0,False,True,False,False,False
Area for standing,150,500,208,0.75,0.81,0.0,0.0,0.0,False,True,False,False,False
Area for standing,175,583,208,0.75,0.81,0.0,0.0,0.0,False,True,False,False,False
Area for standing,200,667,208,0.75,0.81,0.0,0.0,0.0,False,True,False,False,False
Area for standing,50,167,220,0.75,0.9,0.0,0.0,0.0,False,True,False,False,False
Area for standing,75,250,220,0.75,0.9,0.0,0.0,0.0,False,True,False,False,False
Area for standing,100,333,220,0.75,0.9,0.0,0.0,0.0,False,True,False,False,False
Area for standing,125,417,220,0.75,0.9,0.0,0.0,0.0,False,True,False,False,False
Area for standing,150,500,220,0.75,0.9,0.0,0.0,0.0,False,True,False,False,False
Area for standing,175,583,220,0.75,0.9,0.0,0.0,0.0,False,True,False,False,False
Area for standing,200,667,220,0.75,0.9,0.0,0.0,0.0,False,True,False,False,False
Area for standing,50,167,234,0.75,1.0,0.0,0.0,0.0,False,True,False,False,False
Area for standing,75,250,234,0.75,1.0,0.0,0.0,0.0,False,True,False,False,False
Area for standing,100,333,234,0.75,1.0,0.0,0.0,0.0,False,True,False,False,False
Area for standing,125,417,234,0.75,1.0,0.0,0.0,0.0,False,True,False,False,False
Area for standing,150,500,234,0.75,1.0,0.0,0.0,0.0,False,True,False,False,False
Area for standing,175,583,234,0.75,1.0,0.0,0.0,0.0,False,True,False,False,False
Area for standing,200,667,234,0.75,1.0,0.0,0.0,0.0,False,True,False,False,False
Area for standing,50,167,260,0.75,1.2,0.0,0.0,0.0,False,True,False,False,False
Area for standing,75,250,260,0.75,1.2,0.0,0.0,0.0,False,True,False,False,False
Area for standing,100,333,260,0.75,1.2,0.0,0.0,0.0,False,True,False,False,False
Area for standing,125,417,260,0.75,1.2,0.0,0.0,0.0,False,True,False,False,False
Area for standing,150,500,260,0.75,1.2,0.0,0.0,0.0,False,True,False,False,False
Area for standing,175,583,260,0.75,1.2,0.0,0.0,0.0,False,True,False,False,False
Area for standing,200,667,260,0.75,1.2,0.0,0.0,0.0,False,True,False,False,False
Area for standing,50,167,300,0.75,1.5,0.0,0.0,0.0,False,True,False,False,False
Area for standing,75,250,300,0.75,1.5,0.0,0.0,0.0,False,True,False,False,False
Area for standing,100,333,300,0.75,1.5,0.0,0.0,0.0,False,True,False,False,False
Area for standing,125,417,300,0.75,1.5,0.0,0.0,0.0,False,True,False,False,False
Area for standing,150,500,300,0.75,1.5,0.0,0.0,0.0,False,True,False,False,False
Area for standing,175,583,300,0.75,1.5,0.0,0.0,0.0,False,True,False,False,False
Area for standing,200,667,300,0.75,1.5,0.0,0.0,0.0,False,True,False,False,False
Area for standing,50,167,600,0.75,2.0,0.0,0.0,0.0,False,True,False,False,False
Area for standing,75,250,600,0.75,2.0,0.0,0.0,0.0,False,True,False,False,False
Area for standing,100,333,600,0.75,2.0,0.0,0.0,0.0,False,True,False,False,False
Area for standing,125,417,600,0.75,2.0,0.0,0.0,0.0,False,True,False,False,False
Area for standing,150,500,600,0.75,2.0,0.0,0.0,0.0,False,True,False,False,False
Area for standing,175,583,600,0.75,2.0,0.0,0.0,0.0,False,True,False,False,False
Area for standing,200,667,600,0.75,2.0,0.0,0.0,0.0,False,True,False,False,False
Area for standing,50,167,660,0.75,2.2,0.0,0.0,0.0,False,True,False,False,False
Area for standing,75,250,660,0.75,2.2,0.0,0.0,0.0,False,True,False,False,False
Area for standing,100,333,660,0.75,2.2,0.0,0.0,0.0,False,True,False,False,False
Area for standing,125,417,660,0.75,2.2,0.0,0.0,0.0,False,True,False,False,False
Area for standing,150,500,660,0.75,2.2,0.0,0.0,0.0,False,True,False,False,False
Area for standing,175,583,660,0.75,2.2,0.0,0.0,0.0,False,True,False,False,False
Area for standing,200,667,660,0.75,2.2,0.0,0.0,0.0,False,True,False,False,False
Area for standing,50,167,720,0.75,2.4,0.0,0.0,0.0,False,True,False,False,False
Area for standing,75,250,720,0.75,2.4,0.0,0.0,0.0,False,True,False,False,False
Area for standing,100,333,720,0.75,2.4,0.0,0.0,0.0,False,True,False,False,False
Area for standing,125,417,720,0.75,2.4,0.0,0.0,0.0,False,True,False,False,False
Area for standing,150,500,720,0.75,2.4,0.0,0.0,0.0,False,True,False,False,False
Area for standing,175,583,720,0.75,2.4,0.0,0.0,0.0,False,True,False,False,False
Area for standing,200,667,720,0.75,2.4,0.0,0.0,0.0,False,True,False,False,False
Area for standing,50,167,900,0.75,3.0,0.0,0.0,0.0,False,True,False,False,False
Area for standing,75,250,900,0.75,3.0,0.0,0.0,0.0,False,True,False,False,False
Area for standing,100,333,900,0.75,3.0,0.0,0.0,0.0,False,True,False,False,False
Area for standing,125,417,900,0.75,3.0,0.0,0.0,0.0,False,True,False,False,False
Area for standing,150,500,900,0.75,3.0,0.0,0.0,0.0,False,True,False,False,False
Area for standing,175,583,900,0.75,3.0,0.0,0.0,0.0,False,True,False,False,False
Area for standing,200,667,900,0.75,3.0,0.0,0.0,0.0,False,True,False,False,False
Area for standing,50,167,300,0.75,0.75,0.75,0.0,0.0,False,False,True,False,False
Area for standing,75,250,300,0.75,0.75,0.75,0.0,0.0,False,False,True,False,False
Area for standing,100,333,300,0.75,0.75,0.75,0.0,0.0,False,False,True,False,False
Area for standing,125,417,300,0.75,0.75,0.75,0.0,0.0,False,False,True,False,False
Area for standing,150,500,300,0.75,0.75,0.75,0.0,0.0,False,False,True,False,False
Area for standing,175,583,300,0.75,0.75,0.75,0.0,0.0,False,False,True,False,False
Area for standing,200,667,300,0.75,0.75,0.75,0.0,0.0,False,False,True,False,False
Area for standing,50,167,308,0.75,0.75,0.81,0.0,0.0,False,False,True,False,False
Area for standing,75,250,308,0.75,0.75,0.81,0.0,0.0,False,False,True,False,False
Area for standing,100,333,308,0.75,0.75,0.81,0.0,0.0,False,False,True,False,False
Area for standing,125,417,308,0.75,0.75,0.81,0.0,0.0,False,False,True,False,False
Area for standing,150,500,308,0.75,0.75,0.81,0.0,0.0,False,False,True,False,False
Area for standing,175,583,308,0.75,0.75,0.81,0.0,0.0,False,False,True,False,False
Area for standing,200,667,308,0.75,0.75,0.81,0.0,0.0,False,False,True,False,False
Area for standing,50,167,320,0.75,0.75,0.9,0.0,0.0,False,False,True,False,False
Area for standing,75,250,320,0.75,0.75,0.9,0.0,0.0,False,False,True,False,False
Area for standing,100,333,320,0.75,0.75,0.9,0.0,0.0,False,False,True,False,False
Area for standing,125,417,320,0.75,0.75,0.9,0.0,0.0,False,False,True,False,False
Area for standing,150,500,320,0.75,0.75,0.9,0.0,0.0,False,False,True,False,False
Area for standing,175,583,320,0.75,0.75,0.9,0.0,0.0,False,False,True,False,False
Area for standing,200,667,320,0.75,0.75,0.9,0.0,0.0,False,False,True,False,False
Area for standing,50,167,333,0.75,0.75,1.0,0.0,0.0,False,False,True,False,False
Area for standing,75,250,333,0.75,0.75,1.0,0.0,0.0,False,False,True,False,False
Area for standing,100,333,333,0.75,0.75,1.0,0.0,0.0,False,False,True,False,False
Area for standing,125,417,333,0.75,0.75,1.0,0.0,0.0,False,False,True,False,False
Area for standing,150,500,333,0.75,0.75,1.0,0.0,0.0,False,False,True,False,False
Area for standing,175,583,333,0.75,0.75,1.0,0.0,0.0,False,False,True,False,False
Area for standing,200,667,333,0.75,0.75,1.0,0.0,0.0,False,False,True,False,False
Area for standing,50,167,360,0.75,0.75,1.2,0.0,0.0,False,False,True,False,False
Area for standing,75,250,360,0.75,0.75,1.2,0.0,0.0,False,False,True,False,False
Area for standing,100,333,360,0.75,0.75,1.2,0.0,0.0,False,False,True,False,False
Area for standing,125,417,360,0.75,0.75,1.2,0.0,0.0,False,False,True,False,False
Area for standing,150,500,360,0.75,0.75,1.2,0.0,0.0,False,False,True,False,False
Area for standing,175,583,360,0.75,0.75,1.2,0.0,0.0,False,False,True,False,False
Area for standing,200,667,360,0.75,0.75,1.2,0.0,0.0,False,False,True,False,False
Area for standing,50,167,400,0.75,0.75,1.5,0.0,0.0,False,False,True,False,False
Area for standing,75,250,400,0.75,0.75,1.5,0.0,0.0,False,False,True,False,False
Area for standing,100,333,400,0.75,0.75,1.5,0.0,0.0,False,False,True,False,False
Area for standing,125,417,400,0.75,0.75,1.5,0.0,0.0,False,False,True,False,False
Area for standing,150,500,400,0.75,0.75,1.5,0.0,0.0,False,False,True,False,False
Area for standing,175,583,400,0.75,0.75,1.5,0.0,0.0,False,False,True,False,False
Area for standing,200,667,400,0.75,0.75,1.5,0.0,0.0,False,False,True,False,False
Area for standing,50,167,900,0.75,0.75,2.0,0.0,0.0,False,False,True,False,False
Area for standing,75,250,900,0.75,0.75,2.0,0.0,0.0,False,False,True,False,False
Area for standing,100,333,900,0.75,0.75,2.0,0.0,0.0,False,False,True,False,False
Area for standing,125,417,900,0.75,0.75,2.0,0.0,0.0,False,False,True,False,False
Area for standing,150,500,900,0.75,0.75,2.0,0.0,0.0,False,False,True,False,False
Area for standing,175,583,900,0.75,0.75,2.0,0.0,0.0,False,False,True,False,False
Area for standing,200,667,900,0.75,0.75,2.0,0.0,0.0,False,False,True,False,False
Area for standing,50,167,990,0.75,0.75,2.2,0.0,0.0,False,False,True,False,False
Area for standing,75,250,990,0.75,0.75,2.2,0.0,0.0,False,False,True,False,False
Area for standing,100,333,990,0.75,0.75,2.2,0.0,0.0,False,False,True,False,False
Area for standing,125,417,990,0.75,0.75,2.2,0.0,0.0,False,False,True,False,False
Area for standing,150,500,990,0.75,0.75,2.2,0.0,0.0,False,False,True,False,False
Area for standing,175,583,990,0.75,0.75,2.2,0.0,0.0,False,False,True,False,False
Area for standing,200,667,990,0.75,0.75,2.2,0.0,0.0,False,False,True,False,False
Area for standing,50,167,1080,0.75,0.75,2.4,0.0,0.0,False,False,True,False,False
Area for standing,75,250,1080,0.75,0.75,2.4,0.0,0.0,False,False,True,False,False
Area for standing,100,333,1080,0.75,0.75,2.4,0.0,0.0,False,False,True,False,False
Area for standing,125,417,1080,0.75,0.75,2.4,0.0,0.0,False,False,True,False,False
Area for standing,150,500,1080,0.75,0.75,2.4,0.0,0.0,False,False,True,False,False
Area for standing,175,583,1080,0.75,0.75,2.4,0.0,0.0,False,False,True,False,False
Area for standing,200,667,1080,0.75,0.75,2.4,0.0,0.0,False,False,True,False,False
Area for standing,50,167,1350,0.75,0.75,3.0,0.0,0.0,False,False,True,False,False
Area for standing,75,250,1350,0.75,0.75,3.0,0.0,0.0,False,False,True,False,False
Area for standing,100,333,1350,0.75,0.75,3.0,0.0,0.0,False,False,True,False,False
Area for standing,125,417,1350,0.75,0.75,3.0,0.0,0.0,False,False,True,False,False
Area for standing,150,500,1350,0.75,0.75,3.0,0.0,0.0,False,False,True,False,False
Area for standing,175,583,1350,0.75,0.75,3.0,0.0,0.0,False,False,True,False,False
Area for standing,200,667,1350,0.75,0.75,3.0,0.0,0.0,False,False,True,False,False
Area for standing,50,167,316,0.75,0.81,0.81,0.0,0.0,False,False,True,False,False
Area for standing,75,250,316,0.75,0.81,0.81,0.0,0.0,False,False,True,False,False
Area for standing,100,333,316,0.75,0.81,0.81,0.0,0.0,False,False,True,False,False
Area for standing,125,417,316,0.75,0.81,0.81,0.0,0.0,False,False,True,False,False
Area for standing,150,500,316,0.75,0.81,0.81,0.0,0.0,False,False,True,False,False
Area for standing,175,583,316,0.75,0.81,0.81,0.0,0.0,False,False,True,False,False
Area for standing,200,667,316,0.75,0.81,0.81,0.0,0.0,False,False,True,False,False
Area for standing,50,167,340,0.75,0.9,0.9,0.0,0.0,False,False,True,False,False
Area for standing,75,250,340,0.75,0.9,0.9,0.0,0.0,False,False,True,False,False
Area for standing,100,333,340,0.75,0.9,0.9,0.0,0.0,False,False,True,False,False
Area for standing,125,417,340,0.75,0.9,0.9,0.0,0.0,False,False,True,False,False
Area for standing,150,500,340,0.75,0.9,0.9,0.0,0.0,False,False,True,False,False
Area for standing,175,583,340,0.75,0.9,0.9,0.0,0.0,False,False,True,False,False
Area for standing,200,667,340,0.75,0.9,0.9,0.0,0.0,False,False,True,False,False
Area for standing,50,167,367,0.75,1.0,1.0,0.0,0.0,False,False,True,False,False
Area for standing,75,250,367,0.75,1.0,1.0,0.0,0.0,False,False,True,False,False
Area for standing,100,333,367,0.75,1.0,1.0,0.0,0.0,False,False,True,False,False
Area for standing,125,417,367,0.75,1.0,1.0,0.0,0.0,False,False,True,False,False
Area for standing,150,500,367,0.75,1.0,1.0,0.0,0.0,False,False,True,False,False
Area for standing,175,583,367,0.75,1.0,1.0,0.0,0.0,False,False,True,False,False
Area for standing,200,667,367,0.75,1.0,1.0,0.0,0.0,False,False,True,False,False
Area for standing,50,167,420,0.75,1.2,1.2,0.0,0.0,False,False,True,False,False
Area for standing,75,250,420,0.75,1.2,1.2,0.0,0.0,False,False,True,False,False
Area for standing,100,333,420,0.75,1.2,1.2,0.0,0.0,False,False,True,False,False
Area for standing,125,417,420,0.75,1.2,1.2,0.0,0.0,False,False,True,False,False
Area for standing,150,500,420,0.75,1.2,1.2,0.0,0.0,False,False,True,False,False
Area for standing,175,583,420,0.75,1.2,1.2,0.0,0.0,False,False,True,False,False
Area for standing,200,667,420,0.75,1.2,1.2,0.0,0.0,False,False,True,False,False
Area for standing,50,167,500,0.75,1.5,1.5,0.0,0.0,False,False,True,False,False
Area for standing,75,250,500,0.75,1.5,1.5,0.0,0.0,False,False,True,False,False
Area for standing,100,333,500,0.75,1.5,1.5,0.0,0.0,False,False,True,False,False
Area for standing,125,417,500,0.75,1.5,1.5,0.0,0.0,False,False,True,False,False
Area for standing,150,500,500,0.75,1.5,1.5,0.0,0.0,False,False,True,False,False
Area for standing,175,583,500,0.75,1.5,1.5,0.0,0.0,False,False,True,False,False
Area for standing,200,667,500,0.75,1.5,1.5,0.0,0.0,False,False,True,False,False
Area for standing,50,167,900,0.75,2.0,2.0,0.0,0.0,False,False,True,False,False
Area for standing,75,250,900,0.75,2.0,2.0,0.0,0.0,False,False,True,False,False
Area for standing,100,333,900,0.75,2.0,2.0,0.0,0.0,False,False,True,False,False
Area for standing,125,417,900,0.75,2.0,2.0,0.0,0.0,False,False,True,False,False
Area for standing,150,500,900,0.75,2.0,2.0,0.0,0.0,False,False,True,False,False
Area for standing,175,583,900,0.75,2.0,2.0,0.0,0.0,False,False,True,False,False
Area for standing,200,667,900,0.75,2.0,2.0,0.0,0.0,False,False,True,False,False
Area for standing,50,167,990,0.75,2.2,2.2,0.0,0.0,False,False,True,False,False
Area for standing,75,250,990,0.75,2.2,2.2,0.0,0.0,False,False,True,False,False
Area for standing,100,333,990,0.75,2.2,2.2,0.0,0.0,False,False,True,False,False
Area for standing,125,417,990,0.75,2.2,2.2,0.0,0.0,False,False,True,False,False
Area for standing,150,500,990,0.75,2.2,2.2,0.0,0.0,False,False,True,False,False
Area for standing,175,583,990,0.75,2.2,2.2,0.0,0.0,False,False,True,False,False
Area for standing,200,667,990,0.75,2.2,2.2,0.0,0.0,False,False,True,False,False
Area for standing,50,167,1080,0.75,2.4,2.4,0.0,0.0,False,False,True,False,False
Area for standing,75,250,1080,0.75,2.4,2.4,0.0,0.0,False,False,True,False,False
Area for standing,100,333,1080,0.75,2.4,2.4,0.0,0.0,False,False,True,False,False
Area for standing,125,417,1080,0.75,2.4,2.4,0.0,0.0,False,False,True,False,False
Area for standing,150,500,1080,0.75,2.4,2.4,0.0,0.0,False,False,True,False,False
Area for standing,175,583,1080,0.75,2.4,2.4,0.0,0.0,False,False,True,False,False
Area for standing,200,667,1080,0.75,2.4,2.4,0.0,0.0,False,False,True,False,False
Area for standing,50,167,1350,0.75,3.0,3.0,0.0,0.0,False,False,False,True,False
Area for standing,75,250,1350,0.75,3.0,3.0,0.0,0.0,False,False,False,True,False
Area for standing,100,333,1350,0.75,3.0,3.0,0.0,0.0,False,False,False,True,False
Area for standing,125,417,1350,0.75,3.0,3.0,0.0,0.0,False,False,False,True,False
Area for standing,150,500,1350,0.75,3.0,3.0,0.0,0.0,False,False,False,True,False
Area for standing,175,583,1350,0.75,3.0,3.0,0.0,0.0,False,False,False,True,False
Area for standing,200,667,1350,0.75,3.0,3.0,0.0,0.0,False,False,False,True,False
Area for standing,50,167,400,0.75,0.75,0.75,0.75,0.0,False,False,False,True,False
Area for standing,75,250,400,0.75,0.75,0.75,0.75,0.0,False,False,False,True,False
Area for standing,100,333,400,0.75,0.75,0.75,0.75,0.0,False,False,False,True,False
Area for standing,125,417,400,0.75,0.75,0.75,0.75,0.0,False,False,False,True,False
Area for standing,150,500,400,0.75,0.75,0.75,0.75,0.0,False,False,False,True,False
Area for standing,175,583,400,0.75,0.75,0.75,0.75,0.0,False,False,False,True,False
Area for standing,200,667,400,0.75,0.75,0.75,0.75,0.0,False,False,False,True,False
Area for standing,50,167,408,0.75,0.75,0.75,0.81,0.0,False,False,False,True,False
Area for standing,75,250,408,0.75,0.75,0.75,0.81,0.0,False,False,False,True,False
Area for standing,100,333,408,0.75,0.75,0.75,0.81,0.0,False,False,False,True,False
Area for standing,125,417,408,0.75,0.75,0.75,0.81,0.0,False,False,False,True,False
Area for standing,150,500,408,0.75,0.75,0.75,0.81,0.0,False,False,False,True,False
Area for standing,175,583,408,0.75,0.75,0.75,0.81,0.0,False,False,False,True,False
Area for standing,200,667,408,0.75,0.75,0.75,0.81,0.0,False,False,False,True,False
Area for standing,50,167,420,0.75,0.75,0.75,0.9,0.0,False,False,False,True,False
Area for standing,75,250,420,0.75,0.75,0.75,0.9,0.0,False,False,False,True,False
Area for standing,100,333,420,0.75,0.75,0.75,0.9,0.0,False,False,False,True,False
Area for standing,125,417,420,0.75,0.75,0.75,0.9,0.0,False,False,False,True,False
Area for standing,150,500,420,0.75,0.75,0.75,0.9,0.0,False,False,False,True,False
Area for standing,175,583,420,0.75,0.75,0.75,0.9,0.0,False,False,False,True,False
Area for standing,200,667,420,0.75,0.75,0.75,0.9,0.0,False,False,False,True,False
Area for standing,50,167,433,0.75,0.75,0.75,1.0,0.0,False,False,False,True,False
Area for standing,75,250,433,0.75,0.75,0.75,1.0,0.0,False,False,False,True,False
Area for standing,100,333,433,0.75,0.75,0.75,1.0,0.0,False,False,False,True,False
Area for standing,125,417,433,0.75,0.75,0.75,1.0,0.0,False,False,False,True,False
Area for standing,150,500,433,0.75,0.75,0.75,1.0,0.0,False,False,False,True,False
Area for standing,175,583,433,0.75,0.75,0.75,1.0,0.0,False,False,False,True,False
Area for standing,200,667,433,0.75,0.75,0.75,1.0,0.0,False,False,False,True,False
Area for standing,50,167,460,0.75,0.75,0.75,1.2,0.0,False,False,False,True,False
Area for standing,75,250,460,0.75,0.75,0.75,1.2,0.0,False,False,False,True,False
Area for standing,100,333,460,0.75,0.75,0.75,1.2,0.0,False,False,False,True,False
Area for standing,125,417,460,0.75,0.75,0.75,1.2,0.0,False,False,False,True,False
Area for standing,150,500,460,0.75,0.75,0.75,1.2,0.0,False,False,False,True,False
Area for standing,175,583,460,0.75,0.75,0.75,1.2,0.0,False,False,False,True,False
Area for standing,200,667,460,0.75,0.75,0.75,1.2,0.0,False,False,False,True,False
Area for standing,50,167,500,0.75,0.75,0.75,1.5,0.0,False,False,False,True,False
Area for standing,75,250,500,0.75,0.75,0.75,1.5,0.0,False,False,False,True,False
Area for standing,100,333,500,0.75,0.75,0.75,1.5,0.0,False,False,False,True,False
Area for standing,125,417,500,0.75,0.75,0.75,1.5,0.0,False,False,False,True,False
Area for standing,150,500,500,0.75,0.75,0.75,1.5,0.0,False,False,False,True,False
Area for standing,175,583,500,0.75,0.75,0.75,1.5,0.0,False,False,False,True,False
Area for standing,200,667,500,0.75,0.75,0.75,1.5,0.0,False,False,False,True,False
Area for standing,50,167,1200,0.75,0.75,0.75,2.0,0.0,False,False,False,True,False
Area for standing,75,250,1200,0.75,0.75,0.75,2.0,0.0,False,False,False,True,False
Area for standing,100,333,1200,0.75,0.75,0.75,2.0,0.0,False,False,False,True,False
Area for standing,125,417,1200,0.75,0.75,0.75,2.0,0.0,False,False,False,True,False
Area for standing,150,500,1200,0.75,0.75,0.75,2.0,0.0,False,False,False,True,False
Area for standing,175,583,1200,0.75,0.75,0.75,2.0,0.0,False,False,False,True,False
